"","brewery_id","X","abv","ibu","id","name","style","ounces","brew_name","city","state","city_state"
"1888",380,295,0.055,NA,1321,"Brewerhood Brown Ale","American Brown Ale",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1889",380,296,0.08,NA,1320,"Last Call Imperial Amber Ale","American Amber / Red Ale",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1890",380,297,0.096,NA,1319,"Pernicious Double IPA","American Double / Imperial IPA",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1891",380,298,0.052,NA,1303,"6-4-3 Double Play Pilsner","German Pilsener",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1892",380,299,NA,NA,1025,"N Street Drive-In 50th Anniversary IPA","American Double / Imperial IPA",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1893",380,300,0.05,NA,1012,"467 Ethan's Stout","American Stout",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1894",380,301,0.064,NA,942,"1335 Wicked Snout","Saison / Farmhouse Ale",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1895",380,302,0.045,NA,937,"543 Skull Creek Fresh Hopped Pale Ale","American Pale Ale (APA)",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1896",380,303,0.056,37,888,"1327 Pod's ESB","Extra Special / Strong Bitter (ESB)",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1897",380,304,0.056,37,886,"1327 Pod's ESB","Extra Special / Strong Bitter (ESB)",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1898",380,305,0.056,37,612,"1327 Pod's ESB","Extra Special / Strong Bitter (ESB)",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1899",380,306,0.046,35,611,"834 Happy As Ale","American Pale Ale (APA)",12,"Blue Blood Brewing Company","Lincoln"," NE","Lincoln  NE"
"1900",381,2090,0.045,NA,1554,"Bermuda Triangle Ginger Beer","Herbed / Spiced Beer",12,"Swashbuckler Brewing Company","Manheim"," PA","Manheim  PA"
"1901",382,310,0.059,60,1547,"Full Nelson Pale Ale","American Pale Ale (APA)",12,"Blue Mountain Brewery","Afton"," VA","Afton  VA"
"1902",382,311,0.065,30,1546,"Steel Wheels ESB","Extra Special / Strong Bitter (ESB)",12,"Blue Mountain Brewery","Afton"," VA","Afton  VA"
"1903",382,312,0.053,22,1545,"Blue Mountain Classic Lager","Euro Pale Lager",12,"Blue Mountain Brewery","Afton"," VA","Afton  VA"
"1904",382,313,0.059,60,119,"Full Nelson Pale Ale (2010)","American Pale Ale (APA)",12,"Blue Mountain Brewery","Afton"," VA","Afton  VA"
"1905",383,1986,0.042,20,1544,"Starr Pils","German Pilsener",12,"Starr Hill Brewery","Crozet"," VA","Crozet  VA"
"1906",383,1987,0.065,52,1205,"Northern Lights India Pale Ale","American IPA",16,"Starr Hill Brewery","Crozet"," VA","Crozet  VA"
"1907",383,1988,0.048,12,369,"Festie","Märzen / Oktoberfest",12,"Starr Hill Brewery","Crozet"," VA","Crozet  VA"
"1908",383,1989,0.065,52,368,"Northern Lights India Pale Ale","American IPA",12,"Starr Hill Brewery","Crozet"," VA","Crozet  VA"
"1909",384,2338,0.055,NA,1542,"One Claw","American Pale Ale (APA)",12,"Westbrook Brewing Company","Mt. Pleasant"," SC","Mt. Pleasant  SC"
"1910",384,2339,0.04,5,1312,"Westbrook Gose","Gose",12,"Westbrook Brewing Company","Mt. Pleasant"," SC","Mt. Pleasant  SC"
"1911",384,2340,0.05,16,576,"White Thai","Witbier",12,"Westbrook Brewing Company","Mt. Pleasant"," SC","Mt. Pleasant  SC"
"1912",384,2341,0.068,65,575,"Westbrook IPA","American IPA",12,"Westbrook Brewing Company","Mt. Pleasant"," SC","Mt. Pleasant  SC"
"1913",385,1840,0.069,65,1539,"Monkey Fist IPA","American IPA",12,"Shipyard Brewing Company","Portland"," ME","Portland  ME"
"1914",385,1841,0.051,NA,975,"Shipyard Summer Ale","American Pale Wheat Ale",12,"Shipyard Brewing Company","Portland"," ME","Portland  ME"
